Mineral Name,Mineral Class,Chemical Formula,Fe Oxidation State,Fe Site Geometry,First Shell Fe O R Angstrom,First Shell Fe O Cn,Second Shell Atom And Linkage,Second Shell R Angstrom,Second Shell Cn,Additional Shells,Key References
Akaganeite,Fe Oxyhydroxide,β-FeOOH,Fe(III),Octahedral,Fe–O split shells: 1.95 Å and 2.12 Å,~3.3 O at 1.95 Å and ~3.3 O at 2.12 Å (effective CN per subshell in fit),Fe–Fe (two shells; linkage type not explicitly assigned in source),3.03 Å and 3.34–3.47 Å,CN ~2.0 at 3.03 Å; CN ~0.9 (at 3.34 Å) and CN ~2.2 (at 3.47 Å) in alternative fits,Fe–Fe at 3.47 Å reported as longer-distance contribution in fit set,"Manceau (2011) *American Mineralogist* 96, 521–533 (critical evaluation of ferrihydrite/FeOOH EXAFS fits)"
Ferrihydrite (2-line),Fe Oxyhydroxide,Fe5HO8·4H2O (commonly used; variable hydration),Fe(III),Octahedral (short-range ordered),Not mentioned in source(s).,Not mentioned in source(s).,Fe–Fe (short Fe–Fe distances indicative of face-sharing Fe octahedra),2.89–2.92 Å; 3.205 Å; 3.243 Å,Example split-shell fit: 1.25 Fe at 2.92 Å and 2.26 Fe at 3.205 Å (additional Fe–Fe distance at 3.243 Å reported separately),Not mentioned in source(s).,Manceau & Drits (1993) *Clay Minerals* (local structure of ferrihydrite/feroxyhite by EXAFS)
Ferrihydrite (6-line),Fe Oxyhydroxide,Fe5HO8·4H2O (commonly used; variable hydration),Fe(III),Octahedral (dominant),Fe–O split shells: 5.1 O at 1.98 Å and 0.9 O at 2.15 Å (asymmetrical first-shell distribution),Total CN(O) ≈ 6.0 (5.1 + 0.9),Fe–Fe: edge-sharing (ES) and double-corner linkage (DC) reported for ferrihydrite Fe peaks,R(Fe1) = 3.02 ± 0.02 Å; R(Fe2) = 3.42 ± 0.01 Å,CN(Fe1) = 3.4 ± 1.3; CN(Fe2) = 1.8 ± 1.1; Fe2 shell may average 3–4 Fe neighbors (EXAFS under-detection noted),Not mentioned in source(s).,"Manceau (2011) *American Mineralogist* 96, 521–533 (EXAFS Fe–O and Fe–Fe fitting for 6-line ferrihydrite)"
Feroxyhite,Fe Oxyhydroxide,δ-FeOOH,Fe(III),Octahedral,Fe–O split shells: 1.93 Å and 2.07 Å (Fe–O / Fe–OH),CN(O) reported as 2.8 for each first-shell subshell in fit table extract,Fe–Fe: subshell splitting reported (linkage type not explicitly assigned in source),2.89 Å and 3.03 Å (split Fe1 subshells),Example Fe–Fe shell CN reported as 3.7 at ~3.02 Å in fit table extract,Longer Fe–Fe contribution at ~3.40 Å reported in fit table extract,"Manceau (2011) *American Mineralogist* 96, 521–533"
Goethite,Fe Oxyhydroxide,α-FeOOH,Fe(III),Octahedral,⟨Fe–O⟩ = 2.01 ± 0.01 Å (reported as goethite reference distance),Not mentioned in source(s).,Fe–Fe (edge-sharing distances reported for α/β-FeOOH; double-corner Fe separation also reported for α/β-FeOOH),Edge-sharing Fe–Fe: ~3.02–3.03 Å (O2−/OH− edge) and/or 3.30–3.35 Å (OH−/OH− edge); FeDC–FeDC = 3.45–3.52 Å (double-corner separation in α/β-FeOOH),Not mentioned in source(s).,Not mentioned in source(s).,Maillot et al. (2011) *Geochim. Cosmochim. Acta* (⟨Fe–O⟩ compilation including goethite reference); Manceau (2011) *American Mineralogist* (Fe–Fe distance ranges for ferric (oxyhydrox)oxides and α/β-FeOOH separations)
Hematite,Fe Oxyhydroxide,α-Fe2O3,Fe(III),Octahedral,Fe–O split distances in distorted octahedron: 1.98 Å (short) and 2.09 Å (long); average ⟨Fe–O⟩ reported as 2.01 ± 0.01 Å in reference-compound comparison,Not mentioned in source(s).,Fe–Fe: face-sharing and edge-sharing distances reported for ferric (oxyhydrox)oxide structures; hematite has reduced Fe–Fe distances due to face-sharing,Face-sharing Fe–Fe: 2.88–2.90 Å; edge-sharing Fe–Fe: ~2.97 Å; Fe–Fe distance change noted to ~3.39 Å for a longer Fe–Fe distance across corners in hematite,Not mentioned in source(s).,Not mentioned in source(s).,Maillot et al. (2011) *Geochim. Cosmochim. Acta* (⟨Fe–O⟩ reference values); Manceau (2011) *American Mineralogist* (Fe–Fe distances for face-/edge-sharing in ferric (oxyhydrox)oxides)
Lepidocrocite,Fe Oxyhydroxide,γ-FeOOH,Fe(III),Octahedral,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).
Maghemite,Fe Oxyhydroxide,γ-Fe2O3,Fe(III),Mixed (spinel: tetrahedral + octahedral Fe with vacancies),⟨Fe–O⟩ = 1.96 ± 0.01 Å (maghemite reference; contains ~37.5% tetrahedral Fe),Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Maillot et al. (2011) *Geochim. Cosmochim. Acta* (reference-compound EXAFS comparison)
Magnetite,Fe Oxyhydroxide,Fe3O4,Mixed (Fe(II)/Fe(III)),Mixed (spinel: tetrahedral + octahedral Fe),Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).
Schwertmannite,Fe Oxyhydroxide,Fe8O8(OH)6SO4·nH2O (commonly reported; variable hydration),Fe(III),Octahedral (FeO6),Not mentioned in source(s).,Not mentioned in source(s).,S–Fe interatomic distances consistent with bidentate-binuclear sulfate inner-sphere complexes (reported from EXAFS analysis),3.22–3.26 Å (S–Fe),Not mentioned in source(s).,Not mentioned in source(s).,Wang et al. (2015) *Environ. Sci. Technol.* (S–Fe distances in schwertmannite interpreted as bidentate-binuclear sulfate complexes)
Aegirine,Fe Silicate,NaFeSi2O6,Fe(III),Octahedral,Mean Fe–O = 2.038 Å,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Binsted et al. (1986) *J. Phys. Colloques* (Fe K-edge XAS/EXAFS of silicate minerals and glasses; mean Fe–O distances for fayalite and aegirine)
Fayalite,Fe Silicate,Fe2SiO4,Fe(II),Octahedral,Mean Fe–O = 2.228 Å,CN(O) = 6 (crystalline fayalite; used as reference for liquid coordination decrease),Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Binsted et al. (1986) *J. Phys. Colloques* (mean Fe–O in fayalite); Jackson et al. (1993) *Science* (Fe coordination number in crystalline fayalite used as CN=6 reference)
Garnet (Fe2+ in dodecahedral site; Ivrea–Verbano samples),Fe Silicate,"X3Y2(SiO4)3 (e.g., almandine–grossular series; variable composition)",Fe(II),Dodecahedral,Fe–O bond lengths derived from EXAFS are compatible with dodecahedral Fe environment (exact distances not given in provided excerpt),Coordination numbers derived from EXAFS are compatible with dodecahedral environment (exact CN not given in provided excerpt),Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Debye–Waller factors indicate higher disorder on four longer Fe–O bonds vs four shorter bonds (no additional shell distances specified in provided excerpt),Quartieri et al. (1993) *Mineralogical Magazine* (Fe K-edge XAS/EXAFS of garnets; dodecahedral Fe environment)
Hedenbergite,Fe Silicate,CaFeSi2O6,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).
Orthopyroxene (enstatite–ferrosilite; Bamble enstatite example),Fe Silicate,"(Mg,Fe)SiO3",Mixed (Fe partitions mainly into M2; minor Fe(III) reported),Octahedral (M2 site),"Fe–O distances in M2 site: 1.97(2), 1.98(2), 2.09(2), 2.16(2), 2.43(2), 2.65(10) Å; average Fe–O = 2.22(2) Å",Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Closmann et al. (1996) *American Mineralogist* (XAFS of Fe in orthopyroxene; refined Fe–O bond lengths)
Staurolite,Fe Silicate,"(Fe,Mg)2Al9Si4O23(OH)",Fe(III) (also Fe(II) reported in separate study),Tetrahedral (as reported for refined first shell),Mean Fe–O = 1.97–1.99 Å,CN(O) = 3.5–4.1,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Henderson et al. (1997) *Mineralogical Magazine* (XAS/EXAFS of staurolite; refined first-shell Fe–O and CN ranges)
Biotite,Fe Phyllosilicate,"K(Mg,Fe)3AlSi3O10(OH)2 (idealized; composition varies)",Mixed (Fe(II)/Fe(III)); oxidized site reported as Fe(III),Octahedral (majority sixfold coordination reported),Fe–O = 1.99 Å (oxidized site fit); Fe–O decreases from 2.11 Å (starting material) to 2.02 Å (oxidized material) during oxidation/deprotonation,CN(O) = 5.7 ± 0.5 (oxidized site fit); at least 90% of Fe remains sixfold coordinated during oxidation/deprotonation,Fe–Fe next-nearest-neighbor shell reported qualitatively (no distances provided in excerpt),Not mentioned in source(s).,Not mentioned in source(s).,A third peak attributed to next-nearest iron distances (second-nearest Fe shell) reported qualitatively (no distances provided in excerpt),Heald et al. (1994) (oxidized-site EXAFS fit: CN and Fe–O distance); Güttler et al. (1989) *Mineralogical Magazine* (Fe–O contraction during oxidation; Fe–Fe shell qualitative behavior)
Chlorite,Fe Phyllosilicate,"(Mg,Fe,Al)6(Si,Al)4O10(OH)8 (idealized; composition varies)",Not mentioned in source(s).,Octahedral (TOT layer + interlayer Fe discussed),Not mentioned in source(s).,Not mentioned in source(s).,"Fe-(Si,Al) contribution used to assess Fe distribution between TOT layer and interlayer; ~25% of Fe located in interlayer",Not mentioned in source(s).,Not mentioned in source(s).,Not mentioned in source(s).,Manceau et al. (1988) *Phys. Chem. Minerals* (polarized EXAFS of biotite and chlorite; Fe distribution result)
Hectorite (SHCa-1),Fe Phyllosilicate,"Na0.3(Mg,Li)3Si4O10(OH)2·nH2O (idealized; composition varies)",Fe(III),Octahedral,Fe–O1 = 2.00(1) Å,N(O1) ≈ 5.1(5) at α = 35°; range 5.4(5) (α=10°) to 4.6(4) (α=80°),"Fe–Fe1 (edge-sharing Fe octahedra), plus Mg and Si shells in peak B modeling",R(Fe–Mg1) = 3.03(1) Å; R(Fe–Fe1) = 3.03(3) Å; R(Fe–Si1) = 3.24(1) Å,N(Fe1) decreases from 0.3(1) to 0.1(1) with α; N(Mg) decreases from 2.8(2) to 0.6(1) with α,O2 shell at R(Fe–O2) = 3.48(1) Å with N(O2) = 0.6(1.1) reported for hectorite peak B contribution,Finck et al. (2015) *Phys. Chem. Minerals* (polarized EXAFS fits for hectorite and montmorillonite)
