Mineral Name,Mineral Class,Fe Oxidation State,Fe Site Geometry,Shell Label,R Angstrom,N Coordination,Key Reference
akaganeite,Oxyhydroxide,Fe(III),octahedral,Fe-O,1.95,3.3,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>377</citations>
akaganeite,Oxyhydroxide,Fe(III),octahedral,Fe-O,2.12,3.3,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>378</citations>
akaganeite,Oxyhydroxide,Fe(III),octahedral,Fe-Fe,3.03,2,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>379</citations>
akaganeite,Oxyhydroxide,Fe(III),octahedral,Fe-Fe,3.34,0.9,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>381</citations>
akaganeite,Oxyhydroxide,Fe(III),octahedral,Fe-Fe,3.47,2.2,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>380</citations>
ferrihydrite (6-line),Oxyhydroxide,Fe(III),octahedral,Fe-O,1.98,5.1,Manceau (2011) Am. Mineral. 96:521–533 (Fe–O PDF)<citations>3</citations>
ferrihydrite (6-line),Oxyhydroxide,Fe(III),octahedral,Fe-O,2.15,0.9,Manceau (2011) Am. Mineral. 96:521–533 (Fe–O PDF)<citations>3</citations>
ferrihydrite (6-line),Oxyhydroxide,Fe(III),octahedral,Fe-Fe,3.02,3.4,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>5</citations>
ferrihydrite (6-line),Oxyhydroxide,Fe(III),octahedral,Fe-Fe,3.42,1.8,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>5</citations>
goethite,Oxyhydroxide,Fe(III),octahedral,Fe-O,2.01,-1,Maillot et al. (2011) Geochim. Cosmochim. Acta (comparison set; 〈Fe–O〉 in Gt)<citations>320</citations>
hematite,Oxyhydroxide,Fe(III),octahedral,Fe-O,1.98,-1,Naveas et al. (2023) iScience (reported shorter Fe–O distance)<citations>311</citations>
hematite,Oxyhydroxide,Fe(III),octahedral,Fe-O,2.09,-1,Naveas et al. (2023) iScience (reported longer Fe–O distance)<citations>311</citations>
lepidocrocite,Oxyhydroxide,Fe(III),octahedral,Fe-O,-1,-1,Not mentioned in source(s).
maghemite,Oxyhydroxide,Fe(III),mixed,Fe-O,1.96,-1,Maillot et al. (2011) Geochim. Cosmochim. Acta (〈Fe–O〉 in Mh)<citations>320</citations>
magnetite,Oxyhydroxide,mixed,mixed,Fe-O,-1,-1,Not mentioned in source(s).
schwertmannite,Oxyhydroxide,Fe(III),octahedral,Fe-O,-1,-1,Not mentioned in source(s).
schwertmannite,Oxyhydroxide,Fe(III),octahedral,Fe-S,3.24,-1,Wang et al. (2015) Environ. Sci. Technol. (S–Fe distance range 3.22–3.26 Å; midpoint used)<citations>205</citations>
feroxyhite,Oxyhydroxide,Fe(III),octahedral,Fe-O,1.93,2.8,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>364</citations>
feroxyhite,Oxyhydroxide,Fe(III),octahedral,Fe-O,2.07,2.8,Manceau (2011) Am. Mineral. 96:521–533 (Table 1)<citations>365</citations>
aegirine,Silicate,Fe(III),octahedral,Fe-O,-1,-1,Not mentioned in source(s).
fayalite,Silicate,Fe(II),octahedral,Fe-O,2.22,6,Jackson et al. (1993) Science (crystalline fayalite Fe–O and CN=6 stated for fayalite)<citations>66</citations>
garnet,Silicate,Fe(II),dodecahedral,Fe-O,-1,-1,Not mentioned in source(s).
hedenbergite,Silicate,Not mentioned in source.,Not mentioned in source.,Fe-O,-1,-1,Not mentioned in source(s).
orthopyroxene (M2 site),Silicate,mixed,octahedral,Fe-O,1.97,1,Closmann et al. (1996) Am. Mineral. (Fe–O bond lengths list)<citations>69</citations>
orthopyroxene (M2 site),Silicate,mixed,octahedral,Fe-O,1.98,1,Closmann et al. (1996) Am. Mineral. (Fe–O bond lengths list)<citations>69</citations>
orthopyroxene (M2 site),Silicate,mixed,octahedral,Fe-O,2.09,1,Closmann et al. (1996) Am. Mineral. (Fe–O bond lengths list)<citations>69</citations>
orthopyroxene (M2 site),Silicate,mixed,octahedral,Fe-O,2.16,1,Closmann et al. (1996) Am. Mineral. (Fe–O bond lengths list)<citations>69</citations>
orthopyroxene (M2 site),Silicate,mixed,octahedral,Fe-O,2.43,1,Closmann et al. (1996) Am. Mineral. (Fe–O bond lengths list)<citations>69</citations>
orthopyroxene (M2 site),Silicate,mixed,octahedral,Fe-O,2.65,1,Closmann et al. (1996) Am. Mineral. (Fe–O bond lengths list)<citations>69</citations>
staurolite,Silicate,Fe(II),tetrahedral,Fe-O,1.99,3.6,XAS study of staurolite (least-squares refined first-shell parameters for Fe)<citations>293</citations>
biotite,Phyllosilicate,Fe(III),Not mentioned in source.,Fe-O,1.99,5.7,Heald et al. (1994) biotite oxidation series (oxidized site fit)<citations>248</citations>
chlorite,Phyllosilicate,Not mentioned in source.,octahedral,Fe-O,-1,-1,Not mentioned in source(s).
hectorite,Phyllosilicate,Fe(III),octahedral,Fe-O,-1,-1,Not mentioned in source(s).
montmorillonite,Phyllosilicate,Fe(III),octahedral,Fe-O,2,6,Finck et al. (2019) (montmorillonite O1 shell modeled at ~2.00 Å with ~6 O)<citations>102</citations>
nontronite (NG-1),Phyllosilicate,Fe(III),mixed,Fe-O,1.88,0.6,Finck et al. (2019) (NG-1 split O1 shell)<citations>108</citations>
nontronite (NG-1),Phyllosilicate,Fe(III),mixed,Fe-O,2,5.1,Finck et al. (2019) (NG-1 split O1 shell)<citations>108</citations>
nontronite (NG-1),Phyllosilicate,Fe(III),mixed,Fe-Fe,3.065,-1,Finck et al. (2019) (nontronites: Fe–Fe1 distance range 3.06–3.07 Å; midpoint used)<citations>110</citations>
nontronite (NG-1),Phyllosilicate,Fe(III),mixed,Fe-Si,3.255,-1,Finck et al. (2019) (nontronites: Fe–Si1 distance range 3.25–3.26 Å; midpoint used)<citations>110</citations>
nontronite (Garfield),Phyllosilicate,Fe(III),octahedral,Fe-O,2.01,6,"Manceau et al. (2000) (Fe–O at 2.01 Å; N_O=6.0 in Garfield stated in text)<citations>120,162</citations>"
saponite,Phyllosilicate,Fe(III),tetrahedral,Fe-O,1.86,3,Finck et al. (2019) (synthetic saponites: ~3 O at 1.86 Å)<citations>113</citations>
saponite,Phyllosilicate,Fe(III),tetrahedral,Fe-Si,3.19,-1,Finck et al. (2019) (Fe–Si1 distance range 3.18–3.20 Å; midpoint used)<citations>116</citations>
saponite,Phyllosilicate,Fe(III),tetrahedral,Fe-Mg,3.335,-1,Finck et al. (2019) (Fe–Mg1 distance range 3.33–3.34 Å; midpoint used)<citations>116</citations>
saponite,Phyllosilicate,Fe(III),tetrahedral,Fe-Fe,3.245,0.3,Finck et al. (2019) (Fe–Fe1 distance range 3.24–3.25 Å; N_Fe1 ≤ 0.3; midpoint and 0.3 used)<citations>118</citations>
tetra-ferriphlogopite,Phyllosilicate,mixed,tetrahedral,Fe-O,1.86,-1,Giuli et al. (2001) tetra-ferriphlogopite (tetrahedral Fe–O)<citations>59</citations>
tetra-ferriphlogopite,Phyllosilicate,mixed,octahedral,Fe-O,2.22,-1,Giuli et al. (2001) tetra-ferriphlogopite (octahedral Fe–O contribution)<citations>60</citations>
tetra-ferriphlogopite,Phyllosilicate,mixed,tetrahedral,Fe-Si,3.24,-1,Giuli et al. (2001) tetra-ferriphlogopite (Fe–Si distance)<citations>59</citations>
